Algoritmo;Base;Ascendente;Descendente;Aleatório
Bubble Sort;500 Linhas;124750;124750;124750
Bubble Sort;2.000 Linhas;1999000;1999000;1999000
Bubble Sort;10.000 Linhas;49995000;49995000;49995000
Bubble Sort Melhorado;500 Linhas;499;124750;124084
Bubble Sort Melhorado;2.000 Linhas;1999.000;1999000;1999000
Bubble Sort Melhorado;10.000 Linhas;9999;49995000;49986744
Insertion Sort;500 Linhas;499;125249;57436
Insertion Sort;2.000 Linhas;2000999;2000999;923932
Insertion Sort;10.000 Linhas;9999;50004;23514740
Merge Sort;500 Linhas;251;251;498
Merge Sort;2.000 Linhas;1001;1001;1999
Merge Sort;10.000 Linhas;5001;5001;9999
Quick Sort;500 Linhas;124750;124750;2956
Quick Sort;500 Linhas;1998000;1998000;15779
Quick Sort;500 Linhas;49995000;49990000;105589
Heap Sort;500 Linhas;0;0;0
Heap Sort;2.000 Linhas;0;0;0
Heap Sort;10.000 Linhas;0;0;0